'CK.Algebra.variance_restriction' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.variance_range' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.mixture_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.mixture_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.small_gap_pair' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.induction_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.deficit_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.bias_payment' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.complete_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.product_transfer_direct' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.gain_factorization' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.centering_remainder' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.centering_sign' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.curvature_integrand' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.endpoint_polynomial_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.endpoint_polynomial_margin' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.antipodal_pointwise' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.section_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.majorant_factorization' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.majorant_even' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.majorant_halfline' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.majorant_absolute' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.linear_margin_dominates' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.weighted_coefficient' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.Algebra.weighted_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.assemble_conditional' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.indicator_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.sign_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.entropy_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.entropy_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'CK.abstract_profile_induction' depends on axioms: [propext, Classical.choice, Quot.sound]
'CKF2.Spec.matches_f1_target' depends on axioms: [propext, Classical.choice, Quot.sound]
